http://www.ic.ufal.br/dac/author/rbie/291,BRUNO MONTEIRO,AmadeusTV: Portal Educacional na TV Digital Integrado a um Sistema de Gestão de Aprendizado,AmadeusTV: Portal Educacional na TV Digital Integrado a um Sistema de Gestão de Aprendizado
http://www.ic.ufal.br/dac/author/rbie/292,THIAGO MONTEIRO PROTA,AmadeusTV: Portal Educacional na TV Digital Integrado a um Sistema de Gestão de Aprendizado,AmadeusTV: Portal Educacional na TV Digital Integrado a um Sistema de Gestão de Aprendizado
http://www.ic.ufal.br/dac/author/rbie/295,VANESSA ARAUJO BORGES,Uma análise exploratória de tópicos de pesquisa emergentes em Informática na Educação,Uma análise exploratória de tópicos de pesquisa emergentes em Informática na Educação
http://www.ic.ufal.br/dac/author/rbie/296,BRUNO MAGALHÃES NOGUEIRA,Uma análise exploratória de tópicos de pesquisa emergentes em Informática na Educação,Uma análise exploratória de tópicos de pesquisa emergentes em Informática na Educação
http://www.ic.ufal.br/dac/author/rbie/297,ELLEN FRANCINE BARBOSA,Uma análise exploratória de tópicos de pesquisa emergentes em Informática na Educação,Uma análise exploratória de tópicos de pesquisa emergentes em Informática na Educação
http://www.ic.ufal.br/dac/author/rbie/298,ROBERTA MAYUMI MATSUNAGA,Desenvolvimento de um jogo educativo para crianças com hemofilia,Desenvolvimento de um jogo educativo para crianças com hemofilia
http://www.ic.ufal.br/dac/author/rbie/299,REGINA LÚCIA DE OLIVEIRA MORAES,Desenvolvimento de um jogo educativo para crianças com hemofilia,Desenvolvimento de um jogo educativo para crianças com hemofilia
http://www.ic.ufal.br/dac/author/rbie/300,MARCOS AUGUSTO FRANCISCO BORGES,Desenvolvimento de um jogo educativo para crianças com hemofilia,Desenvolvimento de um jogo educativo para crianças com hemofilia
http://www.ic.ufal.br/dac/author/rbie/301,ELMANO RAMALHO CAVALCANTI,Detecção e Avaliação de Cola em Provas Escolares Utilizando Mineração de Texto: um Estudo de Caso,Detecção e Avaliação de Cola em Provas Escolares Utilizando Mineração de Texto: um Estudo de Caso
http://www.ic.ufal.br/dac/author/rbie/302,ELMANO PONTES CAVALCANTI,Detecção e Avaliação de Cola em Provas Escolares Utilizando Mineração de Texto: um Estudo de Caso,Detecção e Avaliação de Cola em Provas Escolares Utilizando Mineração de Texto: um Estudo de Caso
